Channel,Energy(keV),Counts
1296,245.7306,14
1297,245.9204,12
1298,246.1102,19
1299,246.2999,14
1300,246.4897,20
1301,246.6795,17
1302,246.8693,14
1303,247.0590,19
1304,247.2488,22
1305,247.4386,11
1306,247.6283,12
1307,247.8181,14
1308,248.0079,24
1309,248.1977,18
1310,248.3874,13
1311,248.5772,21
1312,248.7670,20
1313,248.9567,17
1314,249.1465,12
1315,249.3363,12
1316,249.5260,16
1317,249.7158,26
1318,249.9056,11
1319,250.0954,13
1320,250.2851,26
1321,250.4749,16
1322,250.6647,16
1323,250.8544,20
1324,251.0442,21
1325,251.2340,17
1326,251.4237,18
1327,251.6135,21
1328,251.8033,18
1329,251.9931,22
1330,252.1828,16
1331,252.3726,17
1332,252.5624,18
1333,252.7521,20
1334,252.9419,24
1335,253.1317,20
1336,253.3214,11
1337,253.5112,25
1338,253.7010,15
1339,253.8908,21
1340,254.0805,21
1341,254.2703,15
1342,254.4601,13
1343,254.6498,18
1344,254.8396,14
1345,255.0294,25
1346,255.2191,8
1347,255.4089,11
1348,255.5987,12
1349,255.7884,9
1350,255.9782,14
1351,256.1680,14
1352,256.3578,19
1353,256.5475,13
1354,256.7373,18
1355,256.9271,17
1356,257.1168,22
1357,257.3066,19
1358,257.4964,10
1359,257.6861,19
1360,257.8759,17
1361,258.0657,18
1362,258.2554,18
1363,258.4452,17
1364,258.6350,10
1365,258.8247,13
1366,259.0145,15
1367,259.2043,14
1368,259.3941,17
1369,259.5838,24
1370,259.7736,15
1371,259.9634,16
1372,260.1531,17
1373,260.3429,19
1374,260.5327,17
1375,260.7224,24
1376,260.9122,21
1377,261.1020,12
1378,261.2917,10
1379,261.4815,18
1380,261.6713,17
1381,261.8610,19
1382,262.0508,14
1383,262.2406,18
1384,262.4303,16
1385,262.6201,12
1386,262.8099,15
1387,262.9996,16
1388,263.1894,13
1389,263.3792,8
1390,263.5689,18
1391,263.7587,16
1392,263.9485,17
1393,264.1382,13
1394,264.3280,22
1395,264.5178,18
1396,264.7076,24
1397,264.8973,18
1398,265.0871,22
1399,265.2769,15
1400,265.4666,11
1401,265.6564,19
1402,265.8462,17
1403,266.0359,14
1404,266.2257,17
1405,266.4155,13
1406,266.6052,15
1407,266.7950,20
1408,266.9848,20
1409,267.1745,15
1410,267.3643,15
1411,267.5541,18
1412,267.7438,15
1413,267.9336,20
1414,268.1234,15
1415,268.3131,10
1416,268.5029,17
1417,268.6927,17
1418,268.8824,16
1419,269.0722,16
1420,269.2620,18
1421,269.4517,17
1422,269.6415,15
1423,269.8313,19
1424,270.0210,18
1425,270.2108,21
1426,270.4006,14
1427,270.5903,15
1428,270.7801,16
1429,270.9699,16
1430,271.1596,12
1431,271.3494,10
1432,271.5391,18
1433,271.7289,9
1434,271.9187,11
1435,272.1084,19
1436,272.2982,13
1437,272.4880,13
1438,272.6777,21
1439,272.8675,23
1440,273.0573,11
1441,273.2470,21
1442,273.4368,12
1443,273.6266,14
1444,273.8163,14
1445,274.0061,14
1446,274.1959,14
1447,274.3856,15
1448,274.5754,16
1449,274.7652,21
1450,274.9549,18
1451,275.1447,12
1452,275.3345,13
1453,275.5242,18
1454,275.7140,16
1455,275.9038,14
1456,276.0935,18
1457,276.2833,25
1458,276.4730,18
1459,276.6628,21
1460,276.8526,14
1461,277.0423,11
1462,277.2321,16
1463,277.4219,14
1464,277.6116,11
1465,277.8014,16
1466,277.9912,14
1467,278.1809,10
1468,278.3707,16
1469,278.5605,10
1470,278.7502,9
1471,278.9400,18
1472,279.1298,18
1473,279.3195,11
1474,279.5093,9
1475,279.6990,20
1476,279.8888,12
1477,280.0786,11
1478,280.2683,16
1479,280.4581,19
1480,280.6479,20
1481,280.8376,14
1482,281.0274,20
1483,281.2172,16
1484,281.4069,11
1485,281.5967,15
1486,281.7865,12
1487,281.9762,13
